job_id,job_title,company,location,experience,salary_inr,employment_type,skills
JOB00016,Software Developer,InnoByte,Chennai,3-5 years,2155863,Full-time,Python; SQL; Git; REST API; HTML; CSS; JavaScript; DSA
JOB00017,AI/ML Engineer,VisionWorks,Mumbai,1-3 years,1599668,Internship,Python; SQL; Pandas; NumPy; Machine Learning; Deep Learning; PyTorch; Git; CSS; Power BI; Statistics
JOB00018,Software Developer,NextGen Systems,Remote,3-5 years,1779650,Contract,Python; SQL; Git; REST API; HTML; CSS; JavaScript; DSA
JOB00019,Software Developer,TechNova,Delhi NCR,3-5 years,1301527,Contract,Python; SQL; Git; REST API; HTML; CSS; JavaScript; DSA; PyTorch; Excel
JOB00020,Cloud Engineer,NextGen Systems,Remote,3-5 years,573159,Internship,Python; Linux; Git; AWS; Azure; Docker; Networking; Terraform; Scikit-learn
JOB00021,Cloud Engineer,CloudPeak,Mumbai,3-5 years,1134154,Full-time,Python; Linux; Git; AWS; Azure; Docker; Networking; Terraform; Excel
JOB00022,Cloud Engineer,Aster Labs,Remote,1-3 years,584603,Full-time,Python; Linux; Git; AWS; Azure; Docker; Networking; Terraform; SQL; CSS
JOB00023,Software Developer,VisionWorks,Remote,0-1 years,529628,Internship,Python; SQL; Git; REST API; HTML; CSS; JavaScript; DSA; Data Visualization
JOB00024,Full Stack Developer,CloudPeak,Hyderabad,3-5 years,1503021,Internship,HTML; CSS; JavaScript; React; Node.js; SQL; Git; REST API; Scikit-learn
JOB00025,Data Scientist,DataBridge,Delhi NCR,1-3 years,1933905,Contract,Python; SQL; Pandas; NumPy; Statistics; Machine Learning; Scikit-learn; Power BI; Terraform
JOB00026,AI/ML Engineer,InnoByte,Chennai,0-1 years,1296835,Full-time,Python; SQL; Pandas; NumPy; Machine Learning; Deep Learning; PyTorch; Git; React; Statistics
JOB00027,Data Analyst,DataBridge,Mumbai,0-1 years,1583772,Full-time,Python; SQL; Excel; Power BI; Pandas; Statistics; Data Visualization
JOB00028,Software Developer,InnoByte,Bengaluru,1-3 years,830125,Full-time,Python; SQL; Git; REST API; HTML; CSS; JavaScript; DSA
JOB00029,Cloud Engineer,VisionWorks,Chennai,3-5 years,1752948,Full-time,Python; Linux; Git; AWS; Azure; Docker; Networking; Terraform; Node.js
JOB00030,AI/ML Engineer,InnoByte,Bengaluru,3-5 years,749318,Contract,Python; SQL; Pandas; NumPy; Machine Learning; Deep Learning; PyTorch; Git; HTML; Scikit-learn; REST API
JOB00031,Data Analyst,InnoByte,Bengaluru,1-3 years,1762147,Internship,Python; SQL; Excel; Power BI; Pandas; Statistics; Data Visualization; NumPy; PyTorch; Azure
JOB00032,Data Analyst,DataBridge,Chennai,3-5 years,871470,Contract,Python; SQL; Excel; Power BI; Pandas; Statistics; Data Visualization
JOB00033,Full Stack Developer,InnoByte,Pune,3-5 years,873882,Full-time,HTML; CSS; JavaScript; React; Node.js; SQL; Git; REST API; Docker; Machine Learning; Python
JOB00034,Software Developer,DataBridge,Chennai,1-3 years,545586,Contract,Python; SQL; Git; REST API; HTML; CSS; JavaScript; DSA
JOB00035,Data Scientist,CloudPeak,Pune,0-1 years,472967,Contract,Python; SQL; Pandas; NumPy; Statistics; Machine Learning; Scikit-learn; Power BI; Networking
JOB00036,Data Analyst,DataBridge,Hyderabad,0-1 years,674632,Full-time,Python; SQL; Excel; Power BI; Pandas; Statistics; Data Visualization; Linux; NumPy; REST API
JOB00037,Cloud Engineer,Aster Labs,Bengaluru,0-1 years,1918618,Internship,Python; Linux; Git; AWS; Azure; Docker; Networking; Terraform
JOB00038,Data Scientist,InnoByte,Remote,0-1 years,1414993,Full-time,Python; SQL; Pandas; NumPy; Statistics; Machine Learning; Scikit-learn; Power BI; Azure
JOB00039,Cloud Engineer,DataBridge,Pune,0-1 years,1766023,Internship,Python; Linux; Git; AWS; Azure; Docker; Networking; Terraform
JOB00040,Full Stack Developer,InnoByte,Pune,3-5 years,1648937,Internship,HTML; CSS; JavaScript; React; Node.js; SQL; Git; REST API
JOB00041,Cloud Engineer,Aster Labs,Chennai,1-3 years,1754517,Contract,Python; Linux; Git; AWS; Azure; Docker; Networking; Terraform; Node.js; JavaScript
JOB00042,Full Stack Developer,InnoByte,Bengaluru,1-3 years,1926774,Internship,HTML; CSS; JavaScript; React; Node.js; SQL; Git; REST API; Python; NumPy
JOB00043,Cloud Engineer,DataBridge,Mumbai,1-3 years,503638,Full-time,Python; Linux; Git; AWS; Azure; Docker; Networking; Terraform
JOB00044,Data Analyst,DataBridge,Hyderabad,1-3 years,2193963,Full-time,Python; SQL; Excel; Power BI; Pandas; Statistics; Data Visualization
JOB00045,Data Scientist,NextGen Systems,Delhi NCR,0-1 years,1750610,Full-time,Python; SQL; Pandas; NumPy; Statistics; Machine Learning; Scikit-learn; Power BI; React; AWS
JOB00046,Data Analyst,CloudPeak,Hyderabad,1-3 years,574470,Internship,Python; SQL; Excel; Power BI; Pandas; Statistics; Data Visualization
JOB00047,Full Stack Developer,VisionWorks,Hyderabad,0-1 years,1409919,Full-time,HTML; CSS; JavaScript; React; Node.js; SQL; Git; REST API; Excel; Machine Learning
JOB00048,AI/ML Engineer,CloudPeak,Delhi NCR,1-3 years,1049518,Full-time,Python; SQL; Pandas; NumPy; Machine Learning; Deep Learning; PyTorch; Git; JavaScript; Azure; AWS
JOB00049,AI/ML Engineer,InnoByte,Delhi NCR,0-1 years,584616,Internship,Python; SQL; Pandas; NumPy; Machine Learning; Deep Learning; PyTorch; Git; Terraform; REST API; AWS
JOB00050,Software Developer,CloudPeak,Bengaluru,1-3 years,1251328,Contract,Python; SQL; Git; REST API; HTML; CSS; JavaScript; DSA; Terraform; Docker
JOB00051,Software Developer,InnoByte,Hyderabad,3-5 years,1748660,Contract,Python; SQL; Git; REST API; HTML; CSS; JavaScript; DSA; Linux; Machine Learning
JOB00052,Cloud Engineer,CloudPeak,Remote,0-1 years,2163209,Contract,Python; Linux; Git; AWS; Azure; Docker; Networking; Terraform; Machine Learning
JOB00053,Software Developer,CodeCraft,Remote,3-5 years,1990783,Internship,Python; SQL; Git; REST API; HTML; CSS; JavaScript; DSA; NumPy
JOB00054,Full Stack Developer,TechNova,Remote,1-3 years,1152248,Full-time,HTML; CSS; JavaScript; React; Node.js; SQL; Git; REST API; Docker; Data Visualization
JOB00055,Full Stack Developer,TechNova,Delhi NCR,0-1 years,817504,Contract,HTML; CSS; JavaScript; React; Node.js; SQL; Git; REST API; Pandas; Networking; Linux
JOB00056,Data Analyst,CodeCraft,Delhi NCR,3-5 years,1086406,Contract,Python; SQL; Excel; Power BI; Pandas; Statistics; Data Visualization; CSS; JavaScript
JOB00057,Software Developer,NextGen Systems,Chennai,3-5 years,2189282,Contract,Python; SQL; Git; REST API; HTML; CSS; JavaScript; DSA
JOB00058,Software Developer,CodeCraft,Hyderabad,3-5 years,1601100,Contract,Python; SQL; Git; REST API; HTML; CSS; JavaScript; DSA
JOB00059,Data Scientist,DataBridge,Hyderabad,0-1 years,1157813,Internship,Python; SQL; Pandas; NumPy; Statistics; Machine Learning; Scikit-learn; Power BI
JOB00060,Data Scientist,DataBridge,Hyderabad,1-3 years,1440351,Full-time,Python; SQL; Pandas; NumPy; Statistics; Machine Learning; Scikit-learn; Power BI
JOB00061,AI/ML Engineer,NextGen Systems,Mumbai,1-3 years,1859434,Internship,Python; SQL; Pandas; NumPy; Machine Learning; Deep Learning; PyTorch; Git; Networking; DSA
JOB00062,Data Scientist,CloudPeak,Chennai,1-3 years,1512687,Internship,Python; SQL; Pandas; NumPy; Statistics; Machine Learning; Scikit-learn; Power BI; Networking; HTML
JOB00063,Data Scientist,TechNova,Hyderabad,1-3 years,1201601,Full-time,Python; SQL; Pandas; NumPy; Statistics; Machine Learning; Scikit-learn; Power BI; HTML
JOB00064,Data Scientist,DataBridge,Mumbai,1-3 years,1277276,Internship,Python; SQL; Pandas; NumPy; Statistics; Machine Learning; Scikit-learn; Power BI; PyTorch; Terraform
JOB00065,Full Stack Developer,Aster Labs,Bengaluru,0-1 years,945143,Internship,HTML; CSS; JavaScript; React; Node.js; SQL; Git; REST API
JOB00066,Data Analyst,TechNova,Bengaluru,0-1 years,659023,Contract,Python; SQL; Excel; Power BI; Pandas; Statistics; Data Visualization; Git
JOB00067,Cloud Engineer,CodeCraft,Delhi NCR,3-5 years,1305076,Full-time,Python; Linux; Git; AWS; Azure; Docker; Networking; Terraform
JOB00068,AI/ML Engineer,TechNova,Remote,0-1 years,659479,Contract,Python; SQL; Pandas; NumPy; Machine Learning; Deep Learning; PyTorch; Git; Scikit-learn; Power BI; HTML
JOB00069,Full Stack Developer,TechNova,Mumbai,0-1 years,1324231,Full-time,HTML; CSS; JavaScript; React; Node.js; SQL; Git; REST API; Statistics
JOB00070,Data Scientist,Aster Labs,Remote,1-3 years,1750011,Internship,Python; SQL; Pandas; NumPy; Statistics; Machine Learning; Scikit-learn; Power BI; PyTorch
JOB00071,AI/ML Engineer,VisionWorks,Pune,1-3 years,1909558,Full-time,Python; SQL; Pandas; NumPy; Machine Learning; Deep Learning; PyTorch; Git; Terraform; React; Docker
JOB00072,AI/ML Engineer,DataBridge,Hyderabad,1-3 years,1664386,Full-time,Python; SQL; Pandas; NumPy; Machine Learning; Deep Learning; PyTorch; Git; Statistics; Scikit-learn
JOB00073,AI/ML Engineer,Aster Labs,Mumbai,0-1 years,1054323,Full-time,Python; SQL; Pandas; NumPy; Machine Learning; Deep Learning; PyTorch; Git; HTML; JavaScript
JOB00074,Full Stack Developer,CloudPeak,Delhi NCR,0-1 years,1805318,Full-time,HTML; CSS; JavaScript; React; Node.js; SQL; Git; REST API; Power BI
JOB00075,Data Scientist,DataBridge,Remote,1-3 years,480580,Contract,Python; SQL; Pandas; NumPy; Statistics; Machine Learning; Scikit-learn; Power BI; JavaScript; PyTorch; Node.js
JOB00076,Cloud Engineer,CodeCraft,Pune,0-1 years,2146697,Contract,Python; Linux; Git; AWS; Azure; Docker; Networking; Terraform
JOB00077,Data Analyst,DataBridge,Hyderabad,1-3 years,1373891,Contract,Python; SQL; Excel; Power BI; Pandas; Statistics; Data Visualization; NumPy; Scikit-learn; HTML
JOB00078,Software Developer,VisionWorks,Chennai,3-5 years,2112668,Internship,Python; SQL; Git; REST API; HTML; CSS; JavaScript; DSA; NumPy; Power BI; Excel
JOB00079,Software Developer,VisionWorks,Chennai,0-1 years,634582,Contract,Python; SQL; Git; REST API; HTML; CSS; JavaScript; DSA; AWS; Data Visualization; PyTorch
JOB00080,Data Scientist,Aster Labs,Remote,1-3 years,1035445,Contract,Python; SQL; Pandas; NumPy; Statistics; Machine Learning; Scikit-learn; Power BI; Docker; PyTorch
JOB00081,Data Scientist,TechNova,Hyderabad,0-1 years,390649,Internship,Python; SQL; Pandas; NumPy; Statistics; Machine Learning; Scikit-learn; Power BI; CSS; REST API
JOB00082,Software Developer,TechNova,Chennai,0-1 years,1931741,Full-time,Python; SQL; Git; REST API; HTML; CSS; JavaScript; DSA
JOB00083,Cloud Engineer,VisionWorks,Delhi NCR,0-1 years,614704,Internship,Python; Linux; Git; AWS; Azure; Docker; Networking; Terraform; Machine Learning
JOB00084,Full Stack Developer,InnoByte,Remote,0-1 years,1620649,Contract,HTML; CSS; JavaScript; React; Node.js; SQL; Git; REST API; Machine Learning; Pandas; Docker
JOB00085,Software Developer,CodeCraft,Pune,3-5 years,1004221,Full-time,Python; SQL; Git; REST API; HTML; CSS; JavaScript; DSA
JOB00086,Software Developer,NextGen Systems,Remote,3-5 years,1812119,Internship,Python; SQL; Git; REST API; HTML; CSS; JavaScript; DSA; Deep Learning
JOB00087,Software Developer,CodeCraft,Delhi NCR,1-3 years,1078139,Full-time,Python; SQL; Git; REST API; HTML; CSS; JavaScript; DSA
JOB00088,Cloud Engineer,VisionWorks,Bengaluru,1-3 years,2074552,Contract,Python; Linux; Git; AWS; Azure; Docker; Networking; Terraform; CSS; REST API
JOB00089,AI/ML Engineer,NextGen Systems,Mumbai,3-5 years,1888880,Contract,Python; SQL; Pandas; NumPy; Machine Learning; Deep Learning; PyTorch; Git; Data Visualization; REST API; Docker
JOB00090,Data Scientist,InnoByte,Hyderabad,1-3 years,2092169,Full-time,Python; SQL; Pandas; NumPy; Statistics; Machine Learning; Scikit-learn; Power BI; Git; JavaScript; Excel
JOB00091,Data Scientist,Aster Labs,Chennai,1-3 years,2134577,Full-time,Python; SQL; Pandas; NumPy; Statistics; Machine Learning; Scikit-learn; Power BI; JavaScript; AWS; REST API
JOB00092,Data Analyst,NextGen Systems,Mumbai,0-1 years,2196164,Internship,Python; SQL; Excel; Power BI; Pandas; Statistics; Data Visualization; Machine Learning; JavaScript
JOB00093,Full Stack Developer,CodeCraft,Pune,3-5 years,856160,Full-time,HTML; CSS; JavaScript; React; Node.js; SQL; Git; REST API
JOB00094,AI/ML Engineer,NextGen Systems,Chennai,1-3 years,545147,Internship,Python; SQL; Pandas; NumPy; Machine Learning; Deep Learning; PyTorch; Git; Scikit-learn; React; AWS
JOB00095,Full Stack Developer,Aster Labs,Pune,3-5 years,1510716,Internship,HTML; CSS; JavaScript; React; Node.js; SQL; Git; REST API; Pandas; Scikit-learn
JOB00096,Data Analyst,NextGen Systems,Chennai,0-1 years,993035,Internship,Python; SQL; Excel; Power BI; Pandas; Statistics; Data Visualization; PyTorch; JavaScript
JOB00097,Full Stack Developer,DataBridge,Delhi NCR,1-3 years,751690,Contract,HTML; CSS; JavaScript; React; Node.js; SQL; Git; REST API; Data Visualization; Docker
JOB00098,AI/ML Engineer,DataBridge,Hyderabad,0-1 years,971273,Contract,Python; SQL; Pandas; NumPy; Machine Learning; Deep Learning; PyTorch; Git; DSA; Excel
JOB00099,Software Developer,TechNova,Mumbai,1-3 years,445453,Internship,Python; SQL; Git; REST API; HTML; CSS; JavaScript; DSA; Networking
JOB00100,Full Stack Developer,VisionWorks,Pune,1-3 years,1334396,Full-time,HTML; CSS; JavaScript; React; Node.js; SQL; Git; REST API; Data Visualization; AWS; Networking
JOB00101,Software Developer,InnoByte,Pune,1-3 years,2074101,Full-time,Python; SQL; Git; REST API; HTML; CSS; JavaScript; DSA; Scikit-learn; Deep Learning
JOB00102,Cloud Engineer,CloudPeak,Remote,3-5 years,668194,Contract,Python; Linux; Git; AWS; Azure; Docker; Networking; Terraform
JOB00103,Software Developer,CodeCraft,Mumbai,3-5 years,1520363,Internship,Python; SQL; Git; REST API; HTML; CSS; JavaScript; DSA; Deep Learning
JOB00104,Full Stack Developer,CodeCraft,Hyderabad,3-5 years,2153900,Internship,HTML; CSS; JavaScript; React; Node.js; SQL; Git; REST API; Python; Terraform; Networking
JOB00105,Software Developer,DataBridge,Delhi NCR,0-1 years,1949575,Contract,Python; SQL; Git; REST API; HTML; CSS; JavaScript; DSA
JOB00106,AI/ML Engineer,DataBridge,Chennai,3-5 years,679372,Full-time,Python; SQL; Pandas; NumPy; Machine Learning; Deep Learning; PyTorch; Git
JOB00107,Full Stack Developer,VisionWorks,Delhi NCR,3-5 years,1206723,Contract,HTML; CSS; JavaScript; React; Node.js; SQL; Git; REST API
JOB00108,Data Analyst,NextGen Systems,Delhi NCR,1-3 years,835440,Internship,Python; SQL; Excel; Power BI; Pandas; Statistics; Data Visualization
JOB00109,Data Scientist,DataBridge,Hyderabad,3-5 years,1791550,Internship,Python; SQL; Pandas; NumPy; Statistics; Machine Learning; Scikit-learn; Power BI
JOB00110,AI/ML Engineer,DataBridge,Delhi NCR,0-1 years,590703,Contract,Python; SQL; Pandas; NumPy; Machine Learning; Deep Learning; PyTorch; Git; REST API
JOB00111,Full Stack Developer,CloudPeak,Remote,1-3 years,475070,Internship,HTML; CSS; JavaScript; React; Node.js; SQL; Git; REST API
JOB00112,AI/ML Engineer,NextGen Systems,Delhi NCR,1-3 years,1332930,Contract,Python; SQL; Pandas; NumPy; Machine Learning; Deep Learning; PyTorch; Git; React; DSA
JOB00113,Cloud Engineer,Aster Labs,Mumbai,1-3 years,1256029,Full-time,Python; Linux; Git; AWS; Azure; Docker; Networking; Terraform; React; Data Visualization; DSA
JOB00114,Software Developer,NextGen Systems,Mumbai,0-1 years,1953818,Full-time,Python; SQL; Git; REST API; HTML; CSS; JavaScript; DSA; AWS
JOB00115,Data Scientist,VisionWorks,Bengaluru,1-3 years,1681240,Contract,Python; SQL; Pandas; NumPy; Statistics; Machine Learning; Scikit-learn; Power BI; Git; Deep Learning; Node.js
JOB00116,Data Scientist,CloudPeak,Hyderabad,1-3 years,2148796,Internship,Python; SQL; Pandas; NumPy; Statistics; Machine Learning; Scikit-learn; Power BI; JavaScript; DSA
JOB00117,Data Scientist,InnoByte,Hyderabad,1-3 years,1303839,Contract,Python; SQL; Pandas; NumPy; Statistics; Machine Learning; Scikit-learn; Power BI; Networking; Azure
JOB00118,Software Developer,TechNova,Chennai,3-5 years,1216642,Contract,Python; SQL; Git; REST API; HTML; CSS; JavaScript; DSA; Statistics; AWS; React
JOB00119,Cloud Engineer,CloudPeak,Hyderabad,1-3 years,910057,Internship,Python; Linux; Git; AWS; Azure; Docker; Networking; Terraform; React; DSA; JavaScript
JOB00120,Data Scientist,DataBridge,Delhi NCR,0-1 years,410543,Contract,Python; SQL; Pandas; NumPy; Statistics; Machine Learning; Scikit-learn; Power BI
JOB00121,Cloud Engineer,CodeCraft,Bengaluru,0-1 years,1508155,Full-time,Python; Linux; Git; AWS; Azure; Docker; Networking; Terraform
JOB00122,Data Scientist,CloudPeak,Pune,3-5 years,1708345,Contract,Python; SQL; Pandas; NumPy; Statistics; Machine Learning; Scikit-learn; Power BI
JOB00123,Cloud Engineer,DataBridge,Pune,3-5 years,1340316,Full-time,Python; Linux; Git; AWS; Azure; Docker; Networking; Terraform; REST API; SQL
JOB00124,Data Scientist,CloudPeak,Remote,0-1 years,1915088,Contract,Python; SQL; Pandas; NumPy; Statistics; Machine Learning; Scikit-learn; Power BI; React
JOB00125,Data Scientist,TechNova,Hyderabad,3-5 years,2070816,Contract,Python; SQL; Pandas; NumPy; Statistics; Machine Learning; Scikit-learn; Power BI; React; Git
JOB00126,Cloud Engineer,Aster Labs,Mumbai,3-5 years,1073777,Contract,Python; Linux; Git; AWS; Azure; Docker; Networking; Terraform; Excel; React; SQL
JOB00127,Data Scientist,CodeCraft,Chennai,1-3 years,1549146,Full-time,Python; SQL; Pandas; NumPy; Statistics; Machine Learning; Scikit-learn; Power BI; Docker; Excel
JOB00128,Data Analyst,TechNova,Chennai,3-5 years,1388779,Internship,Python; SQL; Excel; Power BI; Pandas; Statistics; Data Visualization; Node.js; Terraform; Deep Learning
JOB00129,Data Analyst,VisionWorks,Bengaluru,3-5 years,2183310,Contract,Python; SQL; Excel; Power BI; Pandas; Statistics; Data Visualization
JOB00130,Software Developer,CloudPeak,Bengaluru,1-3 years,2176478,Contract,Python; SQL; Git; REST API; HTML; CSS; JavaScript; DSA; PyTorch
JOB00131,Data Analyst,VisionWorks,Remote,3-5 years,1014086,Full-time,Python; SQL; Excel; Power BI; Pandas; Statistics; Data Visualization; CSS; Machine Learning; Node.js
JOB00132,Cloud Engineer,NextGen Systems,Chennai,3-5 years,842348,Full-time,Python; Linux; Git; AWS; Azure; Docker; Networking; Terraform
JOB00133,Data Scientist,InnoByte,Pune,0-1 years,1944610,Internship,Python; SQL; Pandas; NumPy; Statistics; Machine Learning; Scikit-learn; Power BI
JOB00134,Data Analyst,Aster Labs,Remote,0-1 years,446450,Contract,Python; SQL; Excel; Power BI; Pandas; Statistics; Data Visualization
JOB00135,Data Analyst,CodeCraft,Mumbai,3-5 years,862119,Full-time,Python; SQL; Excel; Power BI; Pandas; Statistics; Data Visualization; NumPy; Deep Learning
JOB00136,Full Stack Developer,CodeCraft,Mumbai,3-5 years,1628196,Full-time,HTML; CSS; JavaScript; React; Node.js; SQL; Git; REST API; DSA
JOB00137,Data Scientist,NextGen Systems,Pune,1-3 years,1317101,Internship,Python; SQL; Pandas; NumPy; Statistics; Machine Learning; Scikit-learn; Power BI; Excel
JOB00138,Software Developer,Aster Labs,Mumbai,1-3 years,1276374,Internship,Python; SQL; Git; REST API; HTML; CSS; JavaScript; DSA; Node.js; Excel; Data Visualization
JOB00139,Data Scientist,CodeCraft,Remote,1-3 years,767788,Full-time,Python; SQL; Pandas; NumPy; Statistics; Machine Learning; Scikit-learn; Power BI; PyTorch; HTML
JOB00140,Full Stack Developer,CodeCraft,Hyderabad,0-1 years,396010,Internship,HTML; CSS; JavaScript; React; Node.js; SQL; Git; REST API; Pandas; Networking; Statistics
JOB00141,AI/ML Engineer,VisionWorks,Remote,1-3 years,1621726,Full-time,Python; SQL; Pandas; NumPy; Machine Learning; Deep Learning; PyTorch; Git
JOB00142,Cloud Engineer,NextGen Systems,Delhi NCR,3-5 years,1652103,Internship,Python; Linux; Git; AWS; Azure; Docker; Networking; Terraform; Machine Learning; JavaScript
JOB00143,AI/ML Engineer,TechNova,Hyderabad,1-3 years,1665875,Full-time,Python; SQL; Pandas; NumPy; Machine Learning; Deep Learning; PyTorch; Git; DSA
JOB00144,Cloud Engineer,Aster Labs,Delhi NCR,1-3 years,968891,Full-time,Python; Linux; Git; AWS; Azure; Docker; Networking; Terraform; Excel; Data Visualization
JOB00145,Full Stack Developer,Aster Labs,Mumbai,3-5 years,2188071,Contract,HTML; CSS; JavaScript; React; Node.js; SQL; Git; REST API; Terraform
JOB00146,Full Stack Developer,Aster Labs,Remote,0-1 years,1915648,Contract,HTML; CSS; JavaScript; React; Node.js; SQL; Git; REST API; Scikit-learn; Networking
JOB00147,Software Developer,CodeCraft,Remote,3-5 years,2153845,Contract,Python; SQL; Git; REST API; HTML; CSS; JavaScript; DSA; Machine Learning
JOB00148,Software Developer,Aster Labs,Delhi NCR,3-5 years,1303755,Internship,Python; SQL; Git; REST API; HTML; CSS; JavaScript; DSA; AWS; Networking; Deep Learning
JOB00149,Data Analyst,TechNova,Mumbai,3-5 years,1338758,Contract,Python; SQL; Excel; Power BI; Pandas; Statistics; Data Visualization; Networking; DSA; HTML
JOB00150,Cloud Engineer,VisionWorks,Delhi NCR,1-3 years,1682538,Internship,Python; Linux; Git; AWS; Azure; Docker; Networking; Terraform; Data Visualization
JOB00151,Data Scientist,TechNova,Bengaluru,1-3 years,643133,Contract,Python; SQL; Pandas; NumPy; Statistics; Machine Learning; Scikit-learn; Power BI
JOB00152,Software Developer,CloudPeak,Pune,1-3 years,842411,Contract,Python; SQL; Git; REST API; HTML; CSS; JavaScript; DSA
JOB00153,AI/ML Engineer,VisionWorks,Mumbai,1-3 years,2098381,Contract,Python; SQL; Pandas; NumPy; Machine Learning; Deep Learning; PyTorch; Git; Data Visualization; REST API; DSA
JOB00154,Software Developer,DataBridge,Remote,1-3 years,1282594,Full-time,Python; SQL; Git; REST API; HTML; CSS; JavaScript; DSA; Linux; React
JOB00155,AI/ML Engineer,CodeCraft,Hyderabad,0-1 years,476982,Full-time,Python; SQL; Pandas; NumPy; Machine Learning; Deep Learning; PyTorch; Git; Terraform; Node.js
JOB00156,Data Scientist,DataBridge,Delhi NCR,3-5 years,1739926,Internship,Python; SQL; Pandas; NumPy; Statistics; Machine Learning; Scikit-learn; Power BI
JOB00157,Software Developer,Aster Labs,Chennai,0-1 years,2000027,Internship,Python; SQL; Git; REST API; HTML; CSS; JavaScript; DSA
JOB00158,Full Stack Developer,DataBridge,Mumbai,0-1 years,2090254,Full-time,HTML; CSS; JavaScript; React; Node.js; SQL; Git; REST API
JOB00159,Data Analyst,CloudPeak,Chennai,3-5 years,931487,Contract,Python; SQL; Excel; Power BI; Pandas; Statistics; Data Visualization; AWS
JOB00160,Full Stack Developer,TechNova,Chennai,0-1 years,1736338,Contract,HTML; CSS; JavaScript; React; Node.js; SQL; Git; REST API
JOB00161,Full Stack Developer,TechNova,Chennai,3-5 years,906516,Contract,HTML; CSS; JavaScript; React; Node.js; SQL; Git; REST API; AWS; Docker
JOB00162,Cloud Engineer,InnoByte,Pune,1-3 years,1913773,Contract,Python; Linux; Git; AWS; Azure; Docker; Networking; Terraform
JOB00163,Cloud Engineer,DataBridge,Mumbai,0-1 years,1297924,Internship,Python; Linux; Git; AWS; Azure; Docker; Networking; Terraform
JOB00164,AI/ML Engineer,VisionWorks,Remote,1-3 years,477560,Contract,Python; SQL; Pandas; NumPy; Machine Learning; Deep Learning; PyTorch; Git; React; AWS
JOB00165,AI/ML Engineer,VisionWorks,Bengaluru,0-1 years,1378168,Contract,Python; SQL; Pandas; NumPy; Machine Learning; Deep Learning; PyTorch; Git
JOB00166,Cloud Engineer,NextGen Systems,Mumbai,3-5 years,614642,Internship,Python; Linux; Git; AWS; Azure; Docker; Networking; Terraform; Data Visualization
JOB00167,Cloud Engineer,VisionWorks,Mumbai,3-5 years,968445,Contract,Python; Linux; Git; AWS; Azure; Docker; Networking; Terraform; PyTorch; Scikit-learn
JOB00168,Software Developer,DataBridge,Pune,1-3 years,2138435,Full-time,Python; SQL; Git; REST API; HTML; CSS; JavaScript; DSA
JOB00169,Data Scientist,InnoByte,Hyderabad,1-3 years,1222393,Contract,Python; SQL; Pandas; NumPy; Statistics; Machine Learning; Scikit-learn; Power BI; PyTorch; Networking
JOB00170,AI/ML Engineer,VisionWorks,Bengaluru,0-1 years,1790368,Full-time,Python; SQL; Pandas; NumPy; Machine Learning; Deep Learning; PyTorch; Git; Node.js; Data Visualization
