job_id,job_title,company,location,experience,salary_inr,employment_type,skills,salary_lpa
JOB00044,Data Analyst,DataBridge,Hyderabad,1-3 years,2193963,Full-time,Python; SQL; Excel; Power BI; Pandas; Statistics; Data Visualization,21.93963
JOB00045,Data Scientist,NextGen Systems,Delhi NCR,0-1 years,1750610,Full-time,Python; SQL; Pandas; NumPy; Statistics; Machine Learning; Scikit-learn; Power BI; React; AWS,17.5061
JOB00046,Data Analyst,CloudPeak,Hyderabad,1-3 years,574470,Internship,Python; SQL; Excel; Power BI; Pandas; Statistics; Data Visualization,5.7447
JOB00047,Full Stack Developer,VisionWorks,Hyderabad,0-1 years,1409919,Full-time,HTML; CSS; JavaScript; React; Node.js; SQL; Git; REST API; Excel; Machine Learning,14.09919
JOB00048,AI/ML Engineer,CloudPeak,Delhi NCR,1-3 years,1049518,Full-time,Python; SQL; Pandas; NumPy; Machine Learning; Deep Learning; PyTorch; Git; JavaScript; Azure; AWS,10.49518
JOB00049,AI/ML Engineer,InnoByte,Delhi NCR,0-1 years,584616,Internship,Python; SQL; Pandas; NumPy; Machine Learning; Deep Learning; PyTorch; Git; Terraform; REST API; AWS,5.84616
JOB00050,Software Developer,CloudPeak,Bengaluru,1-3 years,1251328,Contract,Python; SQL; Git; REST API; HTML; CSS; JavaScript; DSA; Terraform; Docker,12.51328
JOB00051,Software Developer,InnoByte,Hyderabad,3-5 years,1748660,Contract,Python; SQL; Git; REST API; HTML; CSS; JavaScript; DSA; Linux; Machine Learning,17.4866
JOB00052,Cloud Engineer,CloudPeak,Remote,0-1 years,2163209,Contract,Python; Linux; Git; AWS; Azure; Docker; Networking; Terraform; Machine Learning,21.63209
JOB00053,Software Developer,CodeCraft,Remote,3-5 years,1990783,Internship,Python; SQL; Git; REST API; HTML; CSS; JavaScript; DSA; NumPy,19.90783
JOB00054,Full Stack Developer,TechNova,Remote,1-3 years,1152248,Full-time,HTML; CSS; JavaScript; React; Node.js; SQL; Git; REST API; Docker; Data Visualization,11.52248
JOB00055,Full Stack Developer,TechNova,Delhi NCR,0-1 years,817504,Contract,HTML; CSS; JavaScript; React; Node.js; SQL; Git; REST API; Pandas; Networking; Linux,8.17504
JOB00056,Data Analyst,CodeCraft,Delhi NCR,3-5 years,1086406,Contract,Python; SQL; Excel; Power BI; Pandas; Statistics; Data Visualization; CSS; JavaScript,10.86406
JOB00057,Software Developer,NextGen Systems,Chennai,3-5 years,2189282,Contract,Python; SQL; Git; REST API; HTML; CSS; JavaScript; DSA,21.89282
JOB00058,Software Developer,CodeCraft,Hyderabad,3-5 years,1601100,Contract,Python; SQL; Git; REST API; HTML; CSS; JavaScript; DSA,16.011
JOB00059,Data Scientist,DataBridge,Hyderabad,0-1 years,1157813,Internship,Python; SQL; Pandas; NumPy; Statistics; Machine Learning; Scikit-learn; Power BI,11.57813
JOB00060,Data Scientist,DataBridge,Hyderabad,1-3 years,1440351,Full-time,Python; SQL; Pandas; NumPy; Statistics; Machine Learning; Scikit-learn; Power BI,14.40351
JOB00061,AI/ML Engineer,NextGen Systems,Mumbai,1-3 years,1859434,Internship,Python; SQL; Pandas; NumPy; Machine Learning; Deep Learning; PyTorch; Git; Networking; DSA,18.59434
JOB00062,Data Scientist,CloudPeak,Chennai,1-3 years,1512687,Internship,Python; SQL; Pandas; NumPy; Statistics; Machine Learning; Scikit-learn; Power BI; Networking; HTML,15.12687
JOB00063,Data Scientist,TechNova,Hyderabad,1-3 years,1201601,Full-time,Python; SQL; Pandas; NumPy; Statistics; Machine Learning; Scikit-learn; Power BI; HTML,12.01601
JOB00064,Data Scientist,DataBridge,Mumbai,1-3 years,1277276,Internship,Python; SQL; Pandas; NumPy; Statistics; Machine Learning; Scikit-learn; Power BI; PyTorch; Terraform,12.77276
JOB00065,Full Stack Developer,Aster Labs,Bengaluru,0-1 years,945143,Internship,HTML; CSS; JavaScript; React; Node.js; SQL; Git; REST API,9.45143
JOB00066,Data Analyst,TechNova,Bengaluru,0-1 years,659023,Contract,Python; SQL; Excel; Power BI; Pandas; Statistics; Data Visualization; Git,6.59023
JOB00067,Cloud Engineer,CodeCraft,Delhi NCR,3-5 years,1305076,Full-time,Python; Linux; Git; AWS; Azure; Docker; Networking; Terraform,13.05076
JOB00068,AI/ML Engineer,TechNova,Remote,0-1 years,659479,Contract,Python; SQL; Pandas; NumPy; Machine Learning; Deep Learning; PyTorch; Git; Scikit-learn; Power BI; HTML,6.59479
JOB00069,Full Stack Developer,TechNova,Mumbai,0-1 years,1324231,Full-time,HTML; CSS; JavaScript; React; Node.js; SQL; Git; REST API; Statistics,13.24231
JOB00070,Data Scientist,Aster Labs,Remote,1-3 years,1750011,Internship,Python; SQL; Pandas; NumPy; Statistics; Machine Learning; Scikit-learn; Power BI; PyTorch,17.50011
JOB00071,AI/ML Engineer,VisionWorks,Pune,1-3 years,1909558,Full-time,Python; SQL; Pandas; NumPy; Machine Learning; Deep Learning; PyTorch; Git; Terraform; React; Docker,19.09558
JOB00072,AI/ML Engineer,DataBridge,Hyderabad,1-3 years,1664386,Full-time,Python; SQL; Pandas; NumPy; Machine Learning; Deep Learning; PyTorch; Git; Statistics; Scikit-learn,16.64386
JOB00073,AI/ML Engineer,Aster Labs,Mumbai,0-1 years,1054323,Full-time,Python; SQL; Pandas; NumPy; Machine Learning; Deep Learning; PyTorch; Git; HTML; JavaScript,10.54323
JOB00074,Full Stack Developer,CloudPeak,Delhi NCR,0-1 years,1805318,Full-time,HTML; CSS; JavaScript; React; Node.js; SQL; Git; REST API; Power BI,18.05318
JOB00075,Data Scientist,DataBridge,Remote,1-3 years,480580,Contract,Python; SQL; Pandas; NumPy; Statistics; Machine Learning; Scikit-learn; Power BI; JavaScript; PyTorch; Node.js,4.8058
JOB00076,Cloud Engineer,CodeCraft,Pune,0-1 years,2146697,Contract,Python; Linux; Git; AWS; Azure; Docker; Networking; Terraform,21.46697
JOB00077,Data Analyst,DataBridge,Hyderabad,1-3 years,1373891,Contract,Python; SQL; Excel; Power BI; Pandas; Statistics; Data Visualization; NumPy; Scikit-learn; HTML,13.73891
JOB00078,Software Developer,VisionWorks,Chennai,3-5 years,2112668,Internship,Python; SQL; Git; REST API; HTML; CSS; JavaScript; DSA; NumPy; Power BI; Excel,21.12668
JOB00079,Software Developer,VisionWorks,Chennai,0-1 years,634582,Contract,Python; SQL; Git; REST API; HTML; CSS; JavaScript; DSA; AWS; Data Visualization; PyTorch,6.34582
JOB00080,Data Scientist,Aster Labs,Remote,1-3 years,1035445,Contract,Python; SQL; Pandas; NumPy; Statistics; Machine Learning; Scikit-learn; Power BI; Docker; PyTorch,10.35445
JOB00081,Data Scientist,TechNova,Hyderabad,0-1 years,390649,Internship,Python; SQL; Pandas; NumPy; Statistics; Machine Learning; Scikit-learn; Power BI; CSS; REST API,3.90649
JOB00082,Software Developer,TechNova,Chennai,0-1 years,1931741,Full-time,Python; SQL; Git; REST API; HTML; CSS; JavaScript; DSA,19.31741
JOB00083,Cloud Engineer,VisionWorks,Delhi NCR,0-1 years,614704,Internship,Python; Linux; Git; AWS; Azure; Docker; Networking; Terraform; Machine Learning,6.14704
JOB00084,Full Stack Developer,InnoByte,Remote,0-1 years,1620649,Contract,HTML; CSS; JavaScript; React; Node.js; SQL; Git; REST API; Machine Learning; Pandas; Docker,16.20649
JOB00085,Software Developer,CodeCraft,Pune,3-5 years,1004221,Full-time,Python; SQL; Git; REST API; HTML; CSS; JavaScript; DSA,10.04221
JOB00086,Software Developer,NextGen Systems,Remote,3-5 years,1812119,Internship,Python; SQL; Git; REST API; HTML; CSS; JavaScript; DSA; Deep Learning,18.12119
JOB00087,Software Developer,CodeCraft,Delhi NCR,1-3 years,1078139,Full-time,Python; SQL; Git; REST API; HTML; CSS; JavaScript; DSA,10.78139
JOB00088,Cloud Engineer,VisionWorks,Bengaluru,1-3 years,2074552,Contract,Python; Linux; Git; AWS; Azure; Docker; Networking; Terraform; CSS; REST API,20.74552
JOB00089,AI/ML Engineer,NextGen Systems,Mumbai,3-5 years,1888880,Contract,Python; SQL; Pandas; NumPy; Machine Learning; Deep Learning; PyTorch; Git; Data Visualization; REST API; Docker,18.8888
JOB00090,Data Scientist,InnoByte,Hyderabad,1-3 years,2092169,Full-time,Python; SQL; Pandas; NumPy; Statistics; Machine Learning; Scikit-learn; Power BI; Git; JavaScript; Excel,20.92169
JOB00091,Data Scientist,Aster Labs,Chennai,1-3 years,2134577,Full-time,Python; SQL; Pandas; NumPy; Statistics; Machine Learning; Scikit-learn; Power BI; JavaScript; AWS; REST API,21.34577
JOB00092,Data Analyst,NextGen Systems,Mumbai,0-1 years,2196164,Internship,Python; SQL; Excel; Power BI; Pandas; Statistics; Data Visualization; Machine Learning; JavaScript,21.96164
JOB00093,Full Stack Developer,CodeCraft,Pune,3-5 years,856160,Full-time,HTML; CSS; JavaScript; React; Node.js; SQL; Git; REST API,8.5616
JOB00094,AI/ML Engineer,NextGen Systems,Chennai,1-3 years,545147,Internship,Python; SQL; Pandas; NumPy; Machine Learning; Deep Learning; PyTorch; Git; Scikit-learn; React; AWS,5.45147
JOB00095,Full Stack Developer,Aster Labs,Pune,3-5 years,1510716,Internship,HTML; CSS; JavaScript; React; Node.js; SQL; Git; REST API; Pandas; Scikit-learn,15.10716
JOB00096,Data Analyst,NextGen Systems,Chennai,0-1 years,993035,Internship,Python; SQL; Excel; Power BI; Pandas; Statistics; Data Visualization; PyTorch; JavaScript,9.93035
JOB00097,Full Stack Developer,DataBridge,Delhi NCR,1-3 years,751690,Contract,HTML; CSS; JavaScript; React; Node.js; SQL; Git; REST API; Data Visualization; Docker,7.5169
JOB00098,AI/ML Engineer,DataBridge,Hyderabad,0-1 years,971273,Contract,Python; SQL; Pandas; NumPy; Machine Learning; Deep Learning; PyTorch; Git; DSA; Excel,9.71273
JOB00099,Software Developer,TechNova,Mumbai,1-3 years,445453,Internship,Python; SQL; Git; REST API; HTML; CSS; JavaScript; DSA; Networking,4.45453
JOB00100,Full Stack Developer,VisionWorks,Pune,1-3 years,1334396,Full-time,HTML; CSS; JavaScript; React; Node.js; SQL; Git; REST API; Data Visualization; AWS; Networking,13.34396
JOB00101,Software Developer,InnoByte,Pune,1-3 years,2074101,Full-time,Python; SQL; Git; REST API; HTML; CSS; JavaScript; DSA; Scikit-learn; Deep Learning,20.74101
JOB00102,Cloud Engineer,CloudPeak,Remote,3-5 years,668194,Contract,Python; Linux; Git; AWS; Azure; Docker; Networking; Terraform,6.68194
JOB00103,Software Developer,CodeCraft,Mumbai,3-5 years,1520363,Internship,Python; SQL; Git; REST API; HTML; CSS; JavaScript; DSA; Deep Learning,15.20363
JOB00104,Full Stack Developer,CodeCraft,Hyderabad,3-5 years,2153900,Internship,HTML; CSS; JavaScript; React; Node.js; SQL; Git; REST API; Python; Terraform; Networking,21.539
JOB00105,Software Developer,DataBridge,Delhi NCR,0-1 years,1949575,Contract,Python; SQL; Git; REST API; HTML; CSS; JavaScript; DSA,19.49575
JOB00106,AI/ML Engineer,DataBridge,Chennai,3-5 years,679372,Full-time,Python; SQL; Pandas; NumPy; Machine Learning; Deep Learning; PyTorch; Git,6.79372
JOB00107,Full Stack Developer,VisionWorks,Delhi NCR,3-5 years,1206723,Contract,HTML; CSS; JavaScript; React; Node.js; SQL; Git; REST API,12.06723
JOB00108,Data Analyst,NextGen Systems,Delhi NCR,1-3 years,835440,Internship,Python; SQL; Excel; Power BI; Pandas; Statistics; Data Visualization,8.3544
JOB00109,Data Scientist,DataBridge,Hyderabad,3-5 years,1791550,Internship,Python; SQL; Pandas; NumPy; Statistics; Machine Learning; Scikit-learn; Power BI,17.9155
JOB00110,AI/ML Engineer,DataBridge,Delhi NCR,0-1 years,590703,Contract,Python; SQL; Pandas; NumPy; Machine Learning; Deep Learning; PyTorch; Git; REST API,5.90703
JOB00111,Full Stack Developer,CloudPeak,Remote,1-3 years,475070,Internship,HTML; CSS; JavaScript; React; Node.js; SQL; Git; REST API,4.7507
JOB00112,AI/ML Engineer,NextGen Systems,Delhi NCR,1-3 years,1332930,Contract,Python; SQL; Pandas; NumPy; Machine Learning; Deep Learning; PyTorch; Git; React; DSA,13.3293
JOB00113,Cloud Engineer,Aster Labs,Mumbai,1-3 years,1256029,Full-time,Python; Linux; Git; AWS; Azure; Docker; Networking; Terraform; React; Data Visualization; DSA,12.56029
JOB00114,Software Developer,NextGen Systems,Mumbai,0-1 years,1953818,Full-time,Python; SQL; Git; REST API; HTML; CSS; JavaScript; DSA; AWS,19.53818
JOB00115,Data Scientist,VisionWorks,Bengaluru,1-3 years,1681240,Contract,Python; SQL; Pandas; NumPy; Statistics; Machine Learning; Scikit-learn; Power BI; Git; Deep Learning; Node.js,16.8124
JOB00116,Data Scientist,CloudPeak,Hyderabad,1-3 years,2148796,Internship,Python; SQL; Pandas; NumPy; Statistics; Machine Learning; Scikit-learn; Power BI; JavaScript; DSA,21.48796
JOB00117,Data Scientist,InnoByte,Hyderabad,1-3 years,1303839,Contract,Python; SQL; Pandas; NumPy; Statistics; Machine Learning; Scikit-learn; Power BI; Networking; Azure,13.03839
JOB00118,Software Developer,TechNova,Chennai,3-5 years,1216642,Contract,Python; SQL; Git; REST API; HTML; CSS; JavaScript; DSA; Statistics; AWS; React,12.16642
JOB00119,Cloud Engineer,CloudPeak,Hyderabad,1-3 years,910057,Internship,Python; Linux; Git; AWS; Azure; Docker; Networking; Terraform; React; DSA; JavaScript,9.10057
JOB00120,Data Scientist,DataBridge,Delhi NCR,0-1 years,410543,Contract,Python; SQL; Pandas; NumPy; Statistics; Machine Learning; Scikit-learn; Power BI,4.10543
JOB00121,Cloud Engineer,CodeCraft,Bengaluru,0-1 years,1508155,Full-time,Python; Linux; Git; AWS; Azure; Docker; Networking; Terraform,15.08155
JOB00122,Data Scientist,CloudPeak,Pune,3-5 years,1708345,Contract,Python; SQL; Pandas; NumPy; Statistics; Machine Learning; Scikit-learn; Power BI,17.08345
JOB00123,Cloud Engineer,DataBridge,Pune,3-5 years,1340316,Full-time,Python; Linux; Git; AWS; Azure; Docker; Networking; Terraform; REST API; SQL,13.40316
JOB00124,Data Scientist,CloudPeak,Remote,0-1 years,1915088,Contract,Python; SQL; Pandas; NumPy; Statistics; Machine Learning; Scikit-learn; Power BI; React,19.15088
JOB00125,Data Scientist,TechNova,Hyderabad,3-5 years,2070816,Contract,Python; SQL; Pandas; NumPy; Statistics; Machine Learning; Scikit-learn; Power BI; React; Git,20.70816
JOB00126,Cloud Engineer,Aster Labs,Mumbai,3-5 years,1073777,Contract,Python; Linux; Git; AWS; Azure; Docker; Networking; Terraform; Excel; React; SQL,10.73777
JOB00127,Data Scientist,CodeCraft,Chennai,1-3 years,1549146,Full-time,Python; SQL; Pandas; NumPy; Statistics; Machine Learning; Scikit-learn; Power BI; Docker; Excel,15.49146
JOB00128,Data Analyst,TechNova,Chennai,3-5 years,1388779,Internship,Python; SQL; Excel; Power BI; Pandas; Statistics; Data Visualization; Node.js; Terraform; Deep Learning,13.88779
JOB00129,Data Analyst,VisionWorks,Bengaluru,3-5 years,2183310,Contract,Python; SQL; Excel; Power BI; Pandas; Statistics; Data Visualization,21.8331
JOB00130,Software Developer,CloudPeak,Bengaluru,1-3 years,2176478,Contract,Python; SQL; Git; REST API; HTML; CSS; JavaScript; DSA; PyTorch,21.76478
JOB00131,Data Analyst,VisionWorks,Remote,3-5 years,1014086,Full-time,Python; SQL; Excel; Power BI; Pandas; Statistics; Data Visualization; CSS; Machine Learning; Node.js,10.14086
JOB00132,Cloud Engineer,NextGen Systems,Chennai,3-5 years,842348,Full-time,Python; Linux; Git; AWS; Azure; Docker; Networking; Terraform,8.42348
JOB00133,Data Scientist,InnoByte,Pune,0-1 years,1944610,Internship,Python; SQL; Pandas; NumPy; Statistics; Machine Learning; Scikit-learn; Power BI,19.4461
JOB00134,Data Analyst,Aster Labs,Remote,0-1 years,446450,Contract,Python; SQL; Excel; Power BI; Pandas; Statistics; Data Visualization,4.4645
JOB00135,Data Analyst,CodeCraft,Mumbai,3-5 years,862119,Full-time,Python; SQL; Excel; Power BI; Pandas; Statistics; Data Visualization; NumPy; Deep Learning,8.62119
JOB00136,Full Stack Developer,CodeCraft,Mumbai,3-5 years,1628196,Full-time,HTML; CSS; JavaScript; React; Node.js; SQL; Git; REST API; DSA,16.28196
JOB00137,Data Scientist,NextGen Systems,Pune,1-3 years,1317101,Internship,Python; SQL; Pandas; NumPy; Statistics; Machine Learning; Scikit-learn; Power BI; Excel,13.17101
JOB00138,Software Developer,Aster Labs,Mumbai,1-3 years,1276374,Internship,Python; SQL; Git; REST API; HTML; CSS; JavaScript; DSA; Node.js; Excel; Data Visualization,12.76374
JOB00139,Data Scientist,CodeCraft,Remote,1-3 years,767788,Full-time,Python; SQL; Pandas; NumPy; Statistics; Machine Learning; Scikit-learn; Power BI; PyTorch; HTML,7.67788
JOB00140,Full Stack Developer,CodeCraft,Hyderabad,0-1 years,396010,Internship,HTML; CSS; JavaScript; React; Node.js; SQL; Git; REST API; Pandas; Networking; Statistics,3.9601
JOB00141,AI/ML Engineer,VisionWorks,Remote,1-3 years,1621726,Full-time,Python; SQL; Pandas; NumPy; Machine Learning; Deep Learning; PyTorch; Git,16.21726
JOB00142,Cloud Engineer,NextGen Systems,Delhi NCR,3-5 years,1652103,Internship,Python; Linux; Git; AWS; Azure; Docker; Networking; Terraform; Machine Learning; JavaScript,16.52103
JOB00143,AI/ML Engineer,TechNova,Hyderabad,1-3 years,1665875,Full-time,Python; SQL; Pandas; NumPy; Machine Learning; Deep Learning; PyTorch; Git; DSA,16.65875
JOB00144,Cloud Engineer,Aster Labs,Delhi NCR,1-3 years,968891,Full-time,Python; Linux; Git; AWS; Azure; Docker; Networking; Terraform; Excel; Data Visualization,9.68891
JOB00145,Full Stack Developer,Aster Labs,Mumbai,3-5 years,2188071,Contract,HTML; CSS; JavaScript; React; Node.js; SQL; Git; REST API; Terraform,21.88071
JOB00146,Full Stack Developer,Aster Labs,Remote,0-1 years,1915648,Contract,HTML; CSS; JavaScript; React; Node.js; SQL; Git; REST API; Scikit-learn; Networking,19.15648
JOB00147,Software Developer,CodeCraft,Remote,3-5 years,2153845,Contract,Python; SQL; Git; REST API; HTML; CSS; JavaScript; DSA; Machine Learning,21.53845
JOB00148,Software Developer,Aster Labs,Delhi NCR,3-5 years,1303755,Internship,Python; SQL; Git; REST API; HTML; CSS; JavaScript; DSA; AWS; Networking; Deep Learning,13.03755
JOB00149,Data Analyst,TechNova,Mumbai,3-5 years,1338758,Contract,Python; SQL; Excel; Power BI; Pandas; Statistics; Data Visualization; Networking; DSA; HTML,13.38758
JOB00150,Cloud Engineer,VisionWorks,Delhi NCR,1-3 years,1682538,Internship,Python; Linux; Git; AWS; Azure; Docker; Networking; Terraform; Data Visualization,16.82538
JOB00151,Data Scientist,TechNova,Bengaluru,1-3 years,643133,Contract,Python; SQL; Pandas; NumPy; Statistics; Machine Learning; Scikit-learn; Power BI,6.43133
JOB00152,Software Developer,CloudPeak,Pune,1-3 years,842411,Contract,Python; SQL; Git; REST API; HTML; CSS; JavaScript; DSA,8.42411
JOB00153,AI/ML Engineer,VisionWorks,Mumbai,1-3 years,2098381,Contract,Python; SQL; Pandas; NumPy; Machine Learning; Deep Learning; PyTorch; Git; Data Visualization; REST API; DSA,20.98381
JOB00154,Software Developer,DataBridge,Remote,1-3 years,1282594,Full-time,Python; SQL; Git; REST API; HTML; CSS; JavaScript; DSA; Linux; React,12.82594
JOB00155,AI/ML Engineer,CodeCraft,Hyderabad,0-1 years,476982,Full-time,Python; SQL; Pandas; NumPy; Machine Learning; Deep Learning; PyTorch; Git; Terraform; Node.js,4.76982
JOB00156,Data Scientist,DataBridge,Delhi NCR,3-5 years,1739926,Internship,Python; SQL; Pandas; NumPy; Statistics; Machine Learning; Scikit-learn; Power BI,17.39926
JOB00157,Software Developer,Aster Labs,Chennai,0-1 years,2000027,Internship,Python; SQL; Git; REST API; HTML; CSS; JavaScript; DSA,20.00027
JOB00158,Full Stack Developer,DataBridge,Mumbai,0-1 years,2090254,Full-time,HTML; CSS; JavaScript; React; Node.js; SQL; Git; REST API,20.90254
JOB00159,Data Analyst,CloudPeak,Chennai,3-5 years,931487,Contract,Python; SQL; Excel; Power BI; Pandas; Statistics; Data Visualization; AWS,9.31487
JOB00160,Full Stack Developer,TechNova,Chennai,0-1 years,1736338,Contract,HTML; CSS; JavaScript; React; Node.js; SQL; Git; REST API,17.36338
